Administrative region;Livestock type;Livestock;Share of stable keeping [%], M;Share of stable keeping [%], SD;Share of stable keeping [%], Min;Share of stable keeping [%], Max;Distribution;Source
Middle Franconia;Cattle;Female cattle over 6 months up to 1 year;91.52;2.49;82.29;100;Normal;Data set II
Middle Franconia;Cattle;Male cattle over 1 year up to 2 years;91.52;2.49;82.29;100;Normal;Data set II
Middle Franconia;Cattle;Male cattle over 2 years, breeding bulls;91.52;2.49;82.29;100;Normal;Data set II
Middle Franconia;Cattle;Male cattle over 6 months up to 1 year;91.52;2.49;82.29;100;Normal;Data set II
Middle Franconia;Cattle;Other female cattle over 2 years;91.52;2.49;82.29;100;Normal;Data set II
Middle Franconia;Horses;Horses over 1 year;80.02;2.5;70.79;93.79;Normal;Data set II
Middle Franconia;Horses;Horses up to 1 year, ponies, small horses;80.02;2.5;70.79;93.79;Normal;Data set II
Middle Franconia;Pigs;Breeding sows from 1st farrowing/pregnant gilts;99.02;1.45;90.79;100;Normal;Data set II
Middle Franconia;Pigs;Fattening pigs (incl. boars) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Middle Franconia;Pigs;Other breeding pigs (without boar) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Middle Franconia;Pigs;Piglets up to under 30 kg;99.02;1.45;90.79;100;Normal;Data set II
Middle Franconia;Pigs;Young pigs 30 to under 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Middle Franconia;Poultry;Broiler chickens/roosters and other chicks;99.02;1.45;90.79;100;Normal;Data set II
Middle Franconia;Poultry;Chicks and pullets up to 6 months for rearing;78.12;2.5;68.89;91.89;Normal;Data set II
Middle Franconia;Poultry;Ducks;99.02;1.45;90.79;100;Normal;Data set II
Middle Franconia;Poultry;Geese;99.02;1.45;90.79;100;Normal;Data set II
Middle Franconia;Poultry;Laying hens over 6 months;78.12;2.5;68.89;91.89;Normal;Data set II
Middle Franconia;Poultry;Turkeys;99.02;1.45;90.79;100;Normal;Data set II
Middle Franconia;Sheep;Ewes;33.02;2.5;23.79;46.79;Normal;Data set II
Middle Franconia;Sheep;Other sheep over 1 year, mutton;33.02;2.5;23.79;46.79;Normal;Data set II
Middle Franconia;Sheep;Rams for breeding;33.02;2.5;23.79;46.79;Normal;Data set II
Middle Franconia;Sheep;Sheeps up to 1 year, including lambs;33.02;2.5;23.79;46.79;Normal;Data set II
Swabia;Cattle;Calves up to 6 months;86.62;2.5;77.39;100;Normal;Data set II
Swabia;Cattle;Cows (dairy, suckler and nurse cows);87.12;2.5;77.89;100;Normal;Data set II
Swabia;Cattle;Female cattle over 1 year up to 2 years;86.62;2.5;77.39;100;Normal;Data set II
Swabia;Cattle;Female cattle over 6 months up to 1 year;86.62;2.5;77.39;100;Normal;Data set II
Swabia;Cattle;Male cattle over 1 year up to 2 years;86.62;2.5;77.39;100;Normal;Data set II
Swabia;Cattle;Male cattle over 2 years, breeding bulls;86.62;2.5;77.39;100;Normal;Data set II
Swabia;Cattle;Male cattle over 6 months up to 1 year;86.62;2.5;77.39;100;Normal;Data set II
Swabia;Cattle;Other female cattle over 2 years;86.62;2.5;77.39;100;Normal;Data set II
Swabia;Horses;Horses over 1 year;80.02;2.5;70.79;93.79;Normal;Data set II
Swabia;Horses;Horses up to 1 year, ponies, small horses;80.02;2.5;70.79;93.79;Normal;Data set II
Swabia;Pigs;Breeding sows from 1st farrowing/pregnant gilts;99.02;1.45;90.79;100;Normal;Data set II
Swabia;Pigs;Fattening pigs (incl. boars) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Swabia;Pigs;Other breeding pigs (without boar) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Swabia;Pigs;Piglets up to under 30 kg;99.02;1.45;90.79;100;Normal;Data set II
Swabia;Pigs;Young pigs 30 to under 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Swabia;Poultry;Broiler chickens/roosters and other chicks;99.02;1.45;90.79;100;Normal;Data set II
Swabia;Poultry;Chicks and pullets up to 6 months for rearing;74.32;2.5;65.09;88.09;Normal;Data set II
Swabia;Poultry;Ducks;99.02;1.45;90.79;100;Normal;Data set II
Swabia;Poultry;Geese;99.02;1.45;90.79;100;Normal;Data set II
Swabia;Poultry;Laying hens over 6 months;74.32;2.5;65.09;88.09;Normal;Data set II
Swabia;Poultry;Turkeys;99.02;1.45;90.79;100;Normal;Data set II
Swabia;Sheep;Ewes;33.02;2.5;23.79;46.79;Normal;Data set II
Swabia;Sheep;Other sheep over 1 year, mutton;33.02;2.5;23.79;46.79;Normal;Data set II
Swabia;Sheep;Rams for breeding;33.02;2.5;23.79;46.79;Normal;Data set II
Swabia;Sheep;Sheeps up to 1 year, including lambs;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Bavaria;Cattle;Calves up to 6 months;88.42;2.49;79.19;100;Normal;Data set II
Upper Bavaria;Cattle;Cows (dairy, suckler and nurse cows);89.15;2.49;79.93;100;Normal;Data set II
Upper Bavaria;Cattle;Female cattle over 1 year up to 2 years;88.42;2.49;79.19;100;Normal;Data set II
Upper Bavaria;Cattle;Female cattle over 6 months up to 1 year;88.42;2.49;79.19;100;Normal;Data set II
Upper Bavaria;Cattle;Male cattle over 1 year up to 2 years;88.42;2.49;79.19;100;Normal;Data set II
Upper Bavaria;Cattle;Male cattle over 2 years, breeding bulls;88.42;2.49;79.19;100;Normal;Data set II
Upper Bavaria;Cattle;Male cattle over 6 months up to 1 year;88.42;2.49;79.19;100;Normal;Data set II
Upper Bavaria;Cattle;Other female cattle over 2 years;88.42;2.49;79.19;100;Normal;Data set II
Upper Bavaria;Horses;Horses over 1 year;80.02;2.5;70.79;93.79;Normal;Data set II
Upper Bavaria;Horses;Horses up to 1 year, ponies, small horses;80.02;2.5;70.79;93.79;Normal;Data set II
Upper Bavaria;Pigs;Breeding sows from 1st farrowing/pregnant gilts;99.02;1.45;90.79;100;Normal;Data set II
Upper Bavaria;Pigs;Fattening pigs (incl. boars) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Bavaria;Pigs;Other breeding pigs (without boar) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Bavaria;Pigs;Piglets up to under 30 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Bavaria;Pigs;Young pigs 30 to under 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Bavaria;Poultry;Broiler chickens/roosters and other chicks;99.02;1.45;90.79;100;Normal;Data set II
Upper Bavaria;Poultry;Chicks and pullets up to 6 months for rearing;87.77;2.5;78.54;100;Normal;Data set II
Upper Bavaria;Poultry;Ducks;99.02;1.45;90.79;100;Normal;Data set II
Upper Bavaria;Poultry;Geese;99.02;1.45;90.79;100;Normal;Data set II
Upper Bavaria;Poultry;Laying hens over 6 months;87.77;2.5;78.54;100;Normal;Data set II
Upper Bavaria;Poultry;Turkeys;99.02;1.45;90.79;100;Normal;Data set II
Upper Bavaria;Sheep;Ewes;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Bavaria;Sheep;Other sheep over 1 year, mutton;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Bavaria;Sheep;Rams for breeding;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Bavaria;Sheep;Sheeps up to 1 year, including lambs;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Franconia;Cattle;Calves up to 6 months;95.07;2.43;85.87;100;Normal;Data set II
Upper Franconia;Cattle;Cows (dairy, suckler and nurse cows);92.52;2.49;83.29;100;Normal;Data set II
Upper Franconia;Cattle;Female cattle over 1 year up to 2 years;95.07;2.43;85.87;100;Normal;Data set II
Upper Franconia;Cattle;Female cattle over 6 months up to 1 year;95.07;2.43;85.87;100;Normal;Data set II
Upper Franconia;Cattle;Male cattle over 1 year up to 2 years;95.07;2.43;85.87;100;Normal;Data set II
Upper Franconia;Cattle;Male cattle over 2 years, breeding bulls;95.07;2.43;85.87;100;Normal;Data set II
Upper Franconia;Cattle;Male cattle over 6 months up to 1 year;95.07;2.43;85.87;100;Normal;Data set II
Upper Franconia;Cattle;Other female cattle over 2 years;95.07;2.43;85.87;100;Normal;Data set II
Upper Franconia;Horses;Horses over 1 year;80.02;2.5;70.79;93.79;Normal;Data set II
Upper Franconia;Horses;Horses up to 1 year, ponies, small horses;80.02;2.5;70.79;93.79;Normal;Data set II
Upper Franconia;Pigs;Breeding sows from 1st farrowing/pregnant gilts;99.02;1.45;90.79;100;Normal;Data set II
Upper Franconia;Pigs;Fattening pigs (incl. boars) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Franconia;Pigs;Other breeding pigs (without boar) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Franconia;Pigs;Piglets up to under 30 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Franconia;Pigs;Young pigs 30 to under 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Franconia;Poultry;Broiler chickens/roosters and other chicks;99.02;1.45;90.79;100;Normal;Data set II
Upper Franconia;Poultry;Chicks and pullets up to 6 months for rearing;80.81;2.5;71.58;94.58;Normal;Data set II
Upper Franconia;Poultry;Ducks;99.02;1.45;90.79;100;Normal;Data set II
Upper Franconia;Poultry;Geese;99.02;1.45;90.79;100;Normal;Data set II
Upper Franconia;Poultry;Laying hens over 6 months;80.81;2.5;71.58;94.58;Normal;Data set II
Upper Franconia;Poultry;Turkeys;99.02;1.45;90.79;100;Normal;Data set II
Upper Franconia;Sheep;Ewes;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Franconia;Sheep;Other sheep over 1 year, mutton;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Franconia;Sheep;Rams for breeding;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Franconia;Sheep;Sheeps up to 1 year, including lambs;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Palatinate;Cattle;Calves up to 6 months;95.77;2.38;86.6;100;Normal;Data set II
Upper Palatinate;Cattle;Cows (dairy, suckler and nurse cows);97.51;2.1;88.54;100;Normal;Data set II
Upper Palatinate;Cattle;Female cattle over 1 year up to 2 years;95.77;2.38;86.6;100;Normal;Data set II
Upper Palatinate;Cattle;Female cattle over 6 months up to 1 year;95.77;2.38;86.6;100;Normal;Data set II
Upper Palatinate;Cattle;Male cattle over 1 year up to 2 years;95.77;2.38;86.6;100;Normal;Data set II
Upper Palatinate;Cattle;Male cattle over 2 years, breeding bulls;95.77;2.38;86.6;100;Normal;Data set II
Upper Palatinate;Cattle;Male cattle over 6 months up to 1 year;95.77;2.38;86.6;100;Normal;Data set II
Upper Palatinate;Cattle;Other female cattle over 2 years;95.77;2.38;86.6;100;Normal;Data set II
Upper Palatinate;Horses;Horses over 1 year;80.02;2.5;70.79;93.79;Normal;Data set II
Upper Palatinate;Horses;Horses up to 1 year, ponies, small horses;80.02;2.5;70.79;93.79;Normal;Data set II
Upper Palatinate;Pigs;Breeding sows from 1st farrowing/pregnant gilts;99.02;1.45;90.79;100;Normal;Data set II
Upper Palatinate;Pigs;Fattening pigs (incl. boars) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Palatinate;Pigs;Other breeding pigs (without boar) from 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Palatinate;Pigs;Piglets up to under 30 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Palatinate;Pigs;Young pigs 30 to under 50 kg;99.02;1.45;90.79;100;Normal;Data set II
Upper Palatinate;Poultry;Broiler chickens/roosters and other chicks;99.02;1.45;90.79;100;Normal;Data set II
Upper Palatinate;Poultry;Chicks and pullets up to 6 months for rearing;88.77;2.49;79.54;100;Normal;Data set II
Upper Palatinate;Poultry;Ducks;99.02;1.45;90.79;100;Normal;Data set II
Upper Palatinate;Poultry;Geese;99.02;1.45;90.79;100;Normal;Data set II
Upper Palatinate;Poultry;Laying hens over 6 months;88.77;2.49;79.54;100;Normal;Data set II
Upper Palatinate;Poultry;Turkeys;99.02;1.45;90.79;100;Normal;Data set II
Upper Palatinate;Sheep;Ewes;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Palatinate;Sheep;Other sheep over 1 year, mutton;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Palatinate;Sheep;Rams for breeding;33.02;2.5;23.79;46.79;Normal;Data set II
Upper Palatinate;Sheep;Sheeps up to 1 year, including lambs;33.02;2.5;23.79;46.79;Normal;Data set II
