CHP unit class;Electrical efficiency [%], M;Electrical efficiency [%], SD;Electrical efficiency [%], Min;Electrical efficiency [%], Max;Distribution;Source
Large;39.25;1.39;34.61;44.82;Resampling from empirical distribution;Data set V
Small;36.92;2.17;28;41;Resampling from empirical distribution;Data set V
