Administrative region;Cultivation;Yield [tFM ha^-1], M;Yield [tFM ha^-1], SD;Yield [tFM ha^-1], Min;Yield [tFM ha^-1], Max;Distribution;Source
Lower Bavaria;Winter barley;7.33;0.61;5.21;9.75;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Winter rapeseed;4.04;0.38;2.62;5.75;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Bavaria;Winter wheat;8.08;0.59;5.6;10.06;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Amaranth;3.5;0.35;2.15;4.82;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Franconia;Amaranth whole crop silage;35.04;3.49;22.57;48.36;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Franconia;Buckwheat;2.5;0.25;1.56;3.37;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Franconia;Buckwheat whole crop silage;18.01;1.81;10.76;24.46;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Franconia;Cereal whole crop silage;26.36;2.79;14.31;39.81;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Durum wheat;5.78;0.44;4.07;7.44;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Fava beans;3.2;0.35;1.93;4.48;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Field grass;7.06;1.53;1.1;13.4;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Flowering mixture, year 1;4.55;0.45;2.93;6.36;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Lower Franconia;Flowering mixture, year 2;5.85;0.59;3.34;7.99;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Lower Franconia;Fodder peas;2.92;0.29;1.8;4.32;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Legume mixture;2.5;0.25;1.54;3.4;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Franconia;Legume whole crop silage;8.42;1.08;4.17;12.19;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Lupins;2.72;0.49;0.84;4.81;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Maize grain;8.96;1.41;3.75;15.39;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Maize silage;41.99;8.67;1.8;73.91;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Oats;3.95;0.4;2.37;5.49;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Pastures, mowed pastures, alpine pastures;6.29;1.59;0;12.3;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Permanent grassland;6.4;0.97;2.99;10.07;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Potatoes;31.16;6.11;7.18;54.38;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Quinoa;3;0.3;1.87;4.12;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Franconia;Quinoa whole crop silage;18;1.8;11.62;24.78;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Franconia;Rapeseed whole crop silage;34.91;3.46;20.88;47.31;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Franconia;Rye;5.08;0.56;2.78;7.11;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Silphia;53.63;17.5;0;118.48;Normal;Yield stability, establishment and environmental parameters of perennial energy crops - permanent crops II, Förster et al. (2021)
Lower Franconia;Sorghum;5;0.5;3.16;7.03;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Lower Franconia;Sorghum whole crop silage;51.1;10.45;11.62;95.64;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Lower Franconia;Soy bean;3.05;0.34;1.89;4.34;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Sugar beets;71.83;12.84;23.29;121.82;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Summer barley;5.25;0.45;3.39;6.88;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Summer mixed cereals;4.51;0.58;2.13;6.92;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Summer rapeseed;2.86;0.23;1.91;3.77;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Summer wheat;5.61;0.7;2.91;8.12;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Sunflower;2.89;0.43;1.3;4.5;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Sunflower whole crop silage;40.06;4.01;22.63;56.59;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Lower Franconia;Szarvasi;44.04;16.63;0;105.03;Normal;Perennial crops - demonstrating suitability for cultivation throughout Bavaria, Hartmann et al. (2018)
Lower Franconia;Triticale;5.67;0.91;1.92;8.99;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Winter barley;6.38;0.95;2.83;9.91;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Winter rapeseed;3.64;0.42;1.64;5.13;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Lower Franconia;Winter wheat;6.97;0.61;4.48;9.8;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Amaranth;3.5;0.35;2.11;4.84;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Middle Franconia;Amaranth whole crop silage;35.03;3.49;21.44;47;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Middle Franconia;Buckwheat;2.5;0.25;1.5;3.42;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Middle Franconia;Buckwheat whole crop silage;17.97;1.8;11.56;24.91;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Middle Franconia;Cereal whole crop silage;26.35;2.76;16.91;36.72;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Durum wheat;5.78;0.44;4.24;7.59;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Fava beans;3.05;0.34;1.74;4.38;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Field grass;7.42;1.01;3.4;11.02;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Flowering mixture, year 1;4.55;0.45;3.08;6.25;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Middle Franconia;Flowering mixture, year 2;5.84;0.59;3.59;7.95;Normal;Veitshöchheim hemp mix, Agrokraft GmbH, Bund Naturschutz in Bayern e.V. (2023)
Middle Franconia;Fodder peas;2.68;0.53;0.66;4.77;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Legume mixture;2.5;0.25;1.55;3.5;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Middle Franconia;Legume whole crop silage;8.4;1.08;4.48;12.54;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Lupins;2.72;0.48;0.83;4.45;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Maize grain;8.83;1.27;3.24;13.73;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Maize silage;43.3;6.43;15.19;66.91;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Oats;3.89;0.61;1.6;6.14;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Pastures, mowed pastures, alpine pastures;5.4;1.13;1.16;9.83;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Permanent grassland;6.4;1.3;1.52;10.74;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Potatoes;31.51;4.75;12.63;49.16;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Quinoa;3;0.3;1.81;4.02;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
